0,1,2,3,4,5,6,7,8,9,10,11,12,13
35.98,18.06,16.7,44.45,51.51,30.4,17.8,12.6,48.4,41.0,76.03,18.91,20.14,48.04
34.23,19.08,12.62,58.02,38.08,31.8,19.1,9.7,53.4,43.0,79.98,13.17,13.98,37.95
29.21,10.76,17.39,34.64,59.21,25.8,12.3,12.7,24.9,60.0,61.19,14.7,13.06,61.78
33.52,18.7,14.82,55.58,39.07,28.3,19.5,8.8,60.5,26.0,84.15,13.75,11.22,44.21
40.14,19.44,19.97,47.7,49.74,31.0,20.3,10.7,50.7,42.0,74.17,21.43,22.56,50.17
39.04,20.77,18.27,54.62,42.77,34.1,22.2,11.9,47.9,39.0,87.35,18.03,17.31,46.8
40.69,22.75,17.53,53.45,44.05,33.9,23.8,10.1,52.3,41.0,76.35,17.94,17.46,43.53
34.23,19.08,12.62,58.02,38.08,31.8,19.1,9.7,53.4,43.0,79.98,13.17,13.98,37.95
29.21,10.76,17.39,34.64,59.21,25.8,12.3,12.7,24.9,60.0,61.19,14.7,13.06,61.78
33.52,18.7,14.82,55.58,39.07,28.3,19.5,8.8,60.5,26.0,84.15,13.75,11.22,44.21
40.14,19.44,19.97,47.7,49.74,31.0,20.3,10.7,50.7,42.0,74.17,21.43,22.56,50.17
41.65,22.06,19.59,53.08,44.22,31.8,23.4,8.4,58.3,34.0,82.09,18.9,18.82,47.03
44.63,19.32,24.17,46.95,51.0,31.41,19.67,8.44,58.63,33.47,81.44,25.14,25.05,54.16
33.52,10.15,21.11,33.59,61.81,24.71,14.16,9.95,25.76,57.35,67.71,18.82,17.7,67.52
36.99,18.6,18.38,61.31,36.46,29.1,19.29,9.81,67.22,25.08,88.62,17.05,14.91,49.72
40.54,22.3,18.25,54.51,43.04,31.7,23.05,8.65,58.27,10.78,85.07,18.1,17.98,44.99
41.12,21.1,20.02,46.03,48.93,33.54,22.06,10.43,50.69,8.88,83.67,20.02,19.26,48.69
31.94,24.15,7.51,90.4,9.22,28.58,24.22,4.36,77.0,8.6,93.95,7.8,8.25,23.48
36.769,16.939,18.03,50.485,43.969,30.18,18.73,10.37,50.51,44.39,79.46,19.83,21.45,51.56
38.254,19.484,17.318,51.376,45.637,31.41,19.67,8.44,58.63,33.47,81.44,18.58,18.89,45.27
35.823,19.249,16.574,52.317,43.436,29.1,19.29,9.81,67.22,25.08,88.62,15.65,13.33,46.27
